Geography,Year,Unit Sales No Merch,Unit Sales Any Merch
California - IRI Standard - Multi Outlet + Conv,2018,70071010.0,28172234.0
California - IRI Standard - Multi Outlet + Conv,2019,68990250.0,31055682.0
California - IRI Standard - Multi Outlet + Conv,2020,85662650.0,36062040.0
California - IRI Standard - Multi Outlet + Conv,2021,69612540.0,35705650.0
California - IRI Standard - Multi Outlet + Conv,2022,71483610.0,27761856.0
California - IRI Standard - Multi Outlet + Conv,2023,1451014.0,477246.97
Great Lakes - IRI Standard - Multi Outlet + Conv,2018,125093784.0,72406630.0
Great Lakes - IRI Standard - Multi Outlet + Conv,2019,122349370.0,77678100.0
Great Lakes - IRI Standard - Multi Outlet + Conv,2020,149508530.0,85384104.0
Great Lakes - IRI Standard - Multi Outlet + Conv,2021,123852720.0,81618430.0
Great Lakes - IRI Standard - Multi Outlet + Conv,2022,124559320.0,69087470.0
Great Lakes - IRI Standard - Multi Outlet + Conv,2023,2295287.5,796382.0
Mid-South - IRI Standard - Multi Outlet + Conv,2018,120860760.0,42236492.0
Mid-South - IRI Standard - Multi Outlet + Conv,2019,121117130.0,44002748.0
Mid-South - IRI Standard - Multi Outlet + Conv,2020,144499550.0,54317064.0
Mid-South - IRI Standard - Multi Outlet + Conv,2021,128577480.0,50634924.0
Mid-South - IRI Standard - Multi Outlet + Conv,2022,128070180.0,44551148.0
Mid-South - IRI Standard - Multi Outlet + Conv,2023,2476496.2,622070.06
Northeast - IRI Standard - Multi Outlet + Conv,2018,157887280.0,90984170.0
Northeast - IRI Standard - Multi Outlet + Conv,2019,160199890.0,88596300.0
Northeast - IRI Standard - Multi Outlet + Conv,2020,193572050.0,93945430.0
Northeast - IRI Standard - Multi Outlet + Conv,2021,160502670.0,90422136.0
Northeast - IRI Standard - Multi Outlet + Conv,2022,166931710.0,70607080.0
Northeast - IRI Standard - Multi Outlet + Conv,2023,3022727.8,1342550.1
Plains - IRI Standard - Multi Outlet + Conv,2018,61060050.0,36308936.0
Plains - IRI Standard - Multi Outlet + Conv,2019,59348860.0,35850972.0
Plains - IRI Standard - Multi Outlet + Conv,2020,69865060.0,42332376.0
Plains - IRI Standard - Multi Outlet + Conv,2021,60649468.0,34267784.0
Plains - IRI Standard - Multi Outlet + Conv,2022,61406764.0,28457822.0
Plains - IRI Standard - Multi Outlet + Conv,2023,1102738.4,479636.6
South Central - IRI Standard - Multi Outlet + Conv,2018,103603390.0,30495060.0
South Central - IRI Standard - Multi Outlet + Conv,2019,107267120.0,31093610.0
South Central - IRI Standard - Multi Outlet + Conv,2020,128208240.0,31841572.0
South Central - IRI Standard - Multi Outlet + Conv,2021,113916290.0,29840892.0
South Central - IRI Standard - Multi Outlet + Conv,2022,114280400.0,24985478.0
South Central - IRI Standard - Multi Outlet + Conv,2023,2194021.5,328268.53
Southeast - IRI Standard - Multi Outlet + Conv,2018,144607460.0,45155388.0
Southeast - IRI Standard - Multi Outlet + Conv,2019,139974990.0,52554828.0
Southeast - IRI Standard - Multi Outlet + Conv,2020,168522600.0,53848184.0
Southeast - IRI Standard - Multi Outlet + Conv,2021,149128020.0,56468404.0
Southeast - IRI Standard - Multi Outlet + Conv,2022,151178290.0,47501616.0
Southeast - IRI Standard - Multi Outlet + Conv,2023,3053374.2,601630.06
West - IRI Standard - Multi Outlet + Conv,2018,85928560.0,49787104.0
West - IRI Standard - Multi Outlet + Conv,2019,81505310.0,57891670.0
West - IRI Standard - Multi Outlet + Conv,2020,97902936.0,65914340.0
West - IRI Standard - Multi Outlet + Conv,2021,82593060.0,62077210.0
West - IRI Standard - Multi Outlet + Conv,2022,85929090.0,52403924.0
West - IRI Standard - Multi Outlet + Conv,2023,1751564.4,553271.44
